"","prod","title","author","date","review_format","stars","comments","n_helpful"
"292","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Works great!!!","Raphael A. Diniz","December 18, 2017","Size: V5s ProVerified Purchase",5,"I love this thing. I had to move some things around so that ""Bob"" wouldn't get stuck. But he works great. I'm thinking of getting a second one because of the size of my place and so that ""Bob doesn't have to work so hard. But he does a great job.",1
"293","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Great value for the price compared to similar robots.","Marsha Gettig","February 3, 2018","Size: V5s ProVerified Purchase",5,"This amazing helper finds lint, pet hair dirt when I swear my floors are perfectly clean! I turn it on & leave the room just making sure electrical cords are out of the way & furniture like chairs moved to let him go wj=here he wants. I only used the floor polisher once & it seemed to be fine. Only issue is that it ocassionally gets stuck on a rug. I wouldnt run it when im not home although you can program it to do so. For the price it is an amazing value. I bought a 2nd one & gave to my son.",1
"294","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Didn’t Work and refunded as a Gift Card","Amazon Customer","April 6, 2019","Size: V5s ProVerified Purchase",2,"The product didn’t clean well and didn’t cover all areas of the floor. It mindlessly moved around the same areas and ignored others and our floors are wide open and all hardwood. The mopping function didn’t work at all. I’m not saying it worked poorly, but instead that it literally failed to work.Also, when we returned it the company issued an Amazon Gift card instead of a refund, which is ridiculous since that is not how we paid for it.I wouldn’t recommend due to how it works, but how they handled the return seals it for me.",NA
"295","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","It was always getting stuck and got lost and couldn't ...","F. Joe Snyder","August 24, 2018","Size: V5s ProVerified Purchase",2,"It was always getting stuck and got lost and couldn't find its home. It would never clean a room completely before going off in some other room and making a pass of two an then getting stuck. To get it to stay in one room, I had to block it off to keep it from leaving which was too much trouble. I received a Shark battery operated device which works very well.",NA
"296","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","and for the price the V5s is fantastic! However","Shelby L","September 25, 2017","Size: V5sVerified Purchase",3,"I purchased the ILIFE V5s back in August and I was so excited to find an affordable robot vacuum, and for the price the V5s is fantastic! However, I was toying with the idea of buying the V7 but chose to go with the V5s because of the mopping function. If you are in the same boat I was just know that the V5 finds its home 4 times out of 10. It gets stuck constantly and it is louder that I expected, but it cleans up pet hair like a dream. Bottom line if you have the extra money to get the nicer model, do it!",1
"297","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Great purchase!","Nursing101","July 21, 2016","Size: V5sVerified Purchase",4,"I like it for help with maintenance cleaning, it does a random clean sweep while I sleep and it seems to do well with grabbing small dirt and dust on my carpet and vinyl flours. Two tiny complaints are that it doesn't ""know"" the room so it just kind of cleans randomly from one side of the room to another, sometimes missing spots and recleaning other spots.  Also, on the vinyl floors the brushes trtend to launch anything the size of a small bead or more rather than suck it up. But it's really good for general maintenance and I love how well it does the edges of the rooms and around furniture. It also reaches under big furniture that I don't move often which is nice. Also, the dog loves chasing it around the room wondering what it is, so added bonus it walks the dog... Haha",6
"298","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","... Beymax) for a few days but so far its pretty great! I noticed that he just died rather ...","Sara C","August 17, 2016","Size: V5sVerified Purchase",5,"I've only had this guy (that we have affectionately named Beymax) for a few days but so far its pretty great! I noticed that he just died rather than docking himself on his charger and he seems to get high centered on our transition strips but he picks up pet hair very well! I have not tried the mop feature yet but will post an updated  review when I do!",1
"299","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Love it!","jaimie","July 20, 2016","Size: V5sVerified Purchase",4,"Love this. Bought it to help with the dog hair between cleanings and it works wonderfully. The only downside is it struggles with my 2 small area rugs so I end up lifting them up shaking them out and putting them somewhere til it's done. Haven't used the mopping function yet though.",2
"300","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Love love love it","MommyB","December 17, 2017","Size: V5s ProVerified Purchase",5,"Love love love it! Great for day to day sweeping and mopping. User friendly and efficient. We have tile, hardwood, and area rugs. It goes throughout our whole house with no issue, including some of our taller thresholds.",1
"301","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","I love this vacuum","Hannah","April 5, 2017","Size: V5sVerified Purchase",5,"I love this vacuum! We recently got a Dalmatian and we have black floors so there is white hair everywhere all the time! I set this guy up to vacuum every night and get to wake up to a clean house every morning. The mop works awesome as well though I recommend wetting the mop pad first.",1
"302","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Still happy with it","Michele","April 3, 2017","Size: V5sVerified Purchase",5,"Purchased about 10 months ago and we run it almost every day. We've had other more expensive robot vacuums and this one holds its own against them. We don't have carpet, so I can't say how it works on that, but on hardwood and concrete it vacuums and washes well. Do pick up any cords, as they can get tangled in the brushes. There are stairs and it had never fallen down them. Still happy with it!",1
"303","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","I am happy with the product","Johannes Vorster","December 30, 2016","Size: V5sVerified Purchase",5,"I used this guy 3 times now since I got it and it works well. It navigates well, does not get stuck and moves from a wood floor to tiles over the lip with no problem. I did a lot of research on other makes at the same price range, looked at comments and videos, so far, I am happy with the product. I have 4 dogs and it picks up all the hair, I have it scheduled to run every day due to all the dogs. It finds the docking station with no problem to recharge. I have not use the mob yet but with 4 dogs, I am not sure if I will use it as I will need to do a lot more mopping with chemicals but at least I would not need to vacuum first.",1
"304","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Amazing vacuum for a very low price","Natalia ","March 26, 2019","Size: V5s ProVerified Purchase",4,"I love my Vacuum, I bought it about 10 months ago and I am in love. I have two dogs and a cat, I have not found a ball of hair in my house since. My cleaning lady does deep cleaning once a month but otherwise have not use my vacuum since.",NA
"305","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Be aware that it can scratch your floor","Mulan","October 30, 2016","Size: V5sVerified Purchase",4,"I really really wanted to like this product cause it does clean my house and can return to its charging station on its own. However, I found that it leaves fine scratches on my newly finished oak hardwood floor. The scratches are very fine as I only can see them in the morning sunlight, but sadly  they are there. So if you have floors like oak or softer, this product may not be for you.I changed my review to 4 stars after my communication with the customer service people. I have to admit this is the best ever customer service that I have ever had. Their replay were instant, sincere and to the point. I am willing to give their A4 a try to see if the scratch issue will go away as A4 only does vacuum, no mopping.",1
"306","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","One Star","Beth G","January 4, 2018","Size: V5s ProVerified Purchase",1,"TERRIBLE!! Stopped working after the first use. All instructions manuals are in Chinese! DO NOT BUY!!",4
"307","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","It would be great in a large room with little furniture","Janette","January 6, 2017","Size: V5sVerified Purchase",3,"It would be great in a large room with little furniture. It had good suction and worked good only I had to babysit it to keep it from getting stuck, so for me it was not useful I could do my floors in much less time than baby sitting. I was looking for a way to maximize my time. I knew it would probably get stuck on area rugs and I only have one in the livingroom, but it had no trouble there it was the furniture, cabinets, and small areas that gave the most trouble.",1
"308","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Works great in India!","Aishwarya","September 24, 2018","Size: V5s ProVerified Purchase",5,"I got this for use in India. I was initially skeptic as I couldn't find any reviews of people using it in different countries. To be on the safer side, I got a step-down transformer to use with the vacuum but realized it worked well without it. I've used it for 2 weeks now in both dry and wet mode and its been doing well. Happy with the purchase and definitely recommend it even if you're not a North American consumer.",NA
"309","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Great Product for the price.","Blade","June 15, 2016","Size: V5sVerified Purchase",5,"The low profile design allows it to go under sofas, beds, chairs and tables. It crosses the wood strips between carpet and tile floors with no problem. The cleaning pattern looks random, but it seems to cover all areas even returning to a room after leaving. It is quiet enough to watch TV while its vacuuming. We use a regular vacuum about once a week and it picks up a lot less then before tho V5. It has a long cleaning cycle, vacuuming 4 rooms and 2 hallways on a single charge. Has a problem with light weight rugs and tends to roll them up and move on. So far it does what we expected and more. Does a great job for the price.",2
"310","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","so dirty, hairy floors were ALWAYS on my mind","Marianne","March 1, 2018","Size: V5s ProVerified Purchase",5,"I have a dog that sheds, so dirty, hairy floors were ALWAYS on my mind. The first time I ran the ILIFE V5s Pro I ran it as a vacuum and it worked great. Every night since then I run it as a mop. I have programmed it to run at 1:00 am. I wake up to mopped floors EVERY MORNING AND I LOVE IT. It is like having a maid that works only at night. What a load off my mind! Now I can devote my free time to other housecleaning chores. Now I need a robot that dusts!",1
"311","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","So much better than Roomba!","Judith A. Kugle","June 7, 2017","Size: V5sVerified Purchase",5,"After owning 2 iRobot roomba I can say this is AMAZING.  What a deal!  Under $200 and a great improvement.  So quiet!  Smaller so gets around better.  Has more features than the Roomba 650. I haven't tried the wet mop feature but will try it soon.",1
"312","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","This was a bust","M. E. Mclaughlin","February 26, 2019","Size: V5sVerified Purchase",1,"Item failed within the first few days, staff was rude about replacing it. The replacement only lasted a month or two. It just quit working. It's a good idea, it just didn't last at all. Waste of time and money.",NA
"313","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Nice","Rudeboy7000","February 9, 2017","Size: V5sVerified Purchase",4,"I enjoy it.! Sometimes it gets lost and can't find its way back home when it's on the opposite side of my house. And it's a little on the loud side but it works well for the price.",2
"314","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Great at first","MelodyV","August 28, 2018","Size: V5s ProVerified Purchase",4,"Having trouble with now. Was great when first purchased. A wheel is stuck and can’t get it lose.",1
"315","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Get Stucked","Aida","December 4, 2018","Size: V5sVerified Purchase",1,"I tried this vaccum a couple of times but it get stuck in my chairs every time is cleaning. When it turns ON automatically after I'm back home I find it this way as you can see. Very disappointed and to bad I didn't returned it when I had a choose <U+0001F614>",NA
"316","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","I love my ILife","allisonjett","November 27, 2017","Size: V5sVerified Purchase",5,"I love my ILife!  I also have a Roomba, which is older and cost more, but they both have been awesome.  My Roomba is louder than my ILife, but the Roomba is probably 5 years older.  They both are great, and the ILife is quieter!  I feel like the bin on the ILife is bigger also!",2
"317","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Kevin is my best friend. He cleans my apt when I'm out","Amazon Customer","February 15, 2017","Size: V5sVerified Purchase",5,"I named my robot Kevin. Kevin is my best friend. He cleans my apt when I'm out. I live in a large studio. He never succeeds to find his way home but I'm happy to put him back on his dock after I come back from work. Kevin is great for my current situation especially at the price point. He is fantastic I love him.",2
"318","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Forget a roomba, get this!","Amazon Customer","March 24, 2017","Size: V5sVerified Purchase",5,"I have three dogs, two large and one mini. We would have to sweep and vacuum 3 to 4 times a day to keep it clean. With this, my wife doesn't pick up the broom. The moping feature is useless I think. Similar to just kinda softly wiping a damp rag on your floor.",1
"319","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Low price for a product that works better than a Roomba!!","Sara Morley","May 27, 2018","Size: V5s ProVerified Purchase",4,"This robo vac is amazing, named it Frederico. Check for dog poop first or you’ll hate life for atleast an hour...heard from a friend. The wispy things on the side really do clean around baseboards, edges and around furniture. Love it! I give 4 stars because it seems to like to get stuck on my fireplace, under my buffet hutch and it’s drawn to those places like a magnet.",1
"320","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","It’s ok","gloria reese","February 6, 2019","Size: V5s ProVerified Purchase",3,"Very quiet, I have black line design on my carpet, it won’t clean it... I think it thinks it’s an edge..doesn’t bump in to everything.... have tried the mop yet. Front wheel could be better, doesn’t go mover throw rugs ... I’ll keep the I Roomba for the full cleaning",NA
"321","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","My little floor robot.","Sue M.","August 21, 2018","Size: V5s ProVerified Purchase",5,"I love this floor robot and named him 'Beetle Bailey'.  I haven't programmed him to work while I sleep yet, but have had him clean most of my house twice and I'm very impressed with what a great job he does!  Also haven't tried mop feature.  It's fun to watch him; kind of like a drunken sailor as he bumps off things/walls and zigs an zags around the room, but it's all clean by the time he goes and parks himself on the charger.  I'll update as I try more of the features.",NA
"322","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Lifesaver","EubanksTJ","October 18, 2018","Size: V5s ProVerified Purchase",4,"I love it. It doesn’t have any kind of sensor to keep it from throwing itself down the stairs or off any ledges. It has gets stuck on cords and strings and rug fringe so clear the floor and tuck any fringe under. It’s a little loud, but you get used to it and don’t notice anymore. I don’t use the mop feature often, but the sweep works well and it’s easy to clean out.",NA
"323","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Strongly recommend this little cleaning bot","Reviewer","November 28, 2017","Size: V5s ProVerified Purchase",5,"I didn't know what to expect.  This little vacuum has done a really good job of getting dust, dirt and cat hair off of our hardwood floors.  The filter is stuffed (!) with hair, dust bunnies and whatnot.  I can't recommend this highly enough!",1
"324","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","It has fallen down the stairs a couple of times because the sensors aren't good enough and it only has front sensors none on","H.B.","March 18, 2018","Size: V5s ProVerified Purchase",4,"Definitely does the job. Have two cats and it picks up a lot of hair thankfully. Have not used mop feature yet but hope it works just as well. It has fallen down the stairs a couple of times because the sensors aren't good enough and it only has front sensors none on back",NA
"325","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","It does an amazing job though","m mc","March 21, 2017","Size: V5sVerified Purchase",5,"only drawback is that it doesnt ""learn"" and kind of just wanders around the house.  It does an amazing job though, and for the price, you cant beat it.  It has made having a 6 month old german sheperd effortless.  We have hardwood floors and we run it every day.  Great product.  Hope it lasts.",1
"326","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Pretty neat robo vac","Allen","October 10, 2016","Size: V5sVerified Purchase",4,"Pretty neat robo vac! Can't beat the price. It sometimes gets lost trying to go back to it's base when it needs to charge and has only a few settings on it (wish I could schedule it to clean daily instead of once!) but other than that, pretty good. Very impressed with how much it picks up. Also, very quiet.",2
"327","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Great price! Gets the job done for us!","tinafu","October 22, 2016","Size: V5sVerified Purchase",5,"We love our iLife robot vacuum!! We've named him Mopsie, and he does a fantastic job keeping our apartment clean. We kept our old vacuum just in case, but Mopsie has been so thorough, we haven't needed to take out the old vacuum for about 2 months now and counting.Our apartment has hardwood floors, and a few rugs/mats that Mopsie has no problem getting on/off of. He hasn't scratched the floors at all, or damaged any of our furniture legs. He does get stuck occasionally on our inch-high doorway floor panels that lead into our bathrooms, so we close the doors to those so he doesn't try to wander in there. I've also read in other reviews that this vacuum never docks by itself when its low in battery, but our Mopsie finds his way home about 90% of the time, which I think is great!  Also really simple to clean his filter etc. We're very happy with this product and think it's well worth the price. Even if the Roomba has a few extra features, its just too expensive. The iLife is totally the way to go!",6
"328","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","20-Amazing","Christina Jackson","January 11, 2019","Size: V5s ProVerified Purchase",4,"Awesome! Wonderful! Saves my back pain! Does a very good job all around! My new favorite family member!!!<U+0001F60D>Only down side:Must not be left alone. It will get suck.Must barrier off rooms in order to keep it from aimlessly wondering, (like one stripe through the house...), & must be emptied often for the vacuum & rinsed often for the mop cloth.Otherwise - lovely! Thank you for the review option!Sincerely,C.T. Jackson<U+0001F60F>",NA
"329","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Quiet and Vacuumed Great!!!","CourtneyW","August 4, 2016","Size: V5sVerified Purchase",5,"It was easy to set up and when I started it, I was expecting it to be loud (I had a Neato Vacuum before that was really loud), but this one was pretty quiet. I started it and it vacuumed my Whole living room, kitchen, and dining area in one charge. It is, however, just the right size to get stuck under my cabinets sometimes, but other than that, it maneuvered around great around the house. I am very pleased. I have not had a chance to use the water tank yet, but will do so soon. My floor were clean enough after the vacuum that I didn't really need to mop. I would definitely buy again. I hope this one lasts a long time.",1
"330","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Amazing vacuum and mop. Buy it now!","S K","October 22, 2018","Size: V5s ProVerified Purchase",5,"Why oh why did I not buy this 15 years ago. It is quiet, gentle ie didn't damage furniture, thorough,  vacuums my thick pile rug.I couldn't be happier. I have a cat, hair, litter etc, this thing picks up everything..LOVE LOVE LOVE LOVE LOVE IT.",NA
"331","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","So glad I did","KIMBERLYB","July 31, 2018","Size: V5s ProVerified Purchase",5,"Replaced my Roomba that I had for several years so I thought I'd save some money and try out the ILIFE.  So glad I did.  This one works just as well and for less money.  I have not tried the mop but so far I'm very happy with it.",NA
"332","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Must have for pet owners","M. O'Brien","December 7, 2018","Size: V5s ProVerified Purchase",5,"With two cats and a golden retriever, this is a great tool for keeping the hair to a minimum.  We did have to sweep our hardwood at least daily, now we're down to a time or two a week thanks to this vacuum.",NA
"333","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Brain damaged, UPDATED","Dero K.","August 30, 2016","Size: V5sVerified Purchase",4,"Gets stuck on just about everything. So far the list is:-All Floor dividers (carpet -> wood, concrete -> tile, etc)-Rugs-Floor mats-Cabinets-Dishwasher-Piano bench-computer chairs-normal chairs-bar stools-tables-thin air (yeah, just stops while cleaning room edges. nothing blocking it or stopping it, no error, just beeps once then stops)-cat fur (the wheels get stuck in clumps of fur so small the AC moves them)-carpet...just carpet-my catsOn the upside it cleans quite well when you aren't babysiting it 24/7EDIT: iLIFE has been persistent in requesting a chance to review an another model. Because of that I've given them a higher rating since they clearly care about customer satisfaction.",13
"334","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","try the A4, it doesn't get stuck as often because it has bigger wheels.","Scott Kay","October 4, 2016","Size: V5sVerified Purchase",1," Take a look at the A4 model if you have molding between floor types (lips).  That model doesn't get stuck as often as this one.  This model is only to be used in homogenous floor types without lips without rugs, without obstructions.Update_Customer support has tried everything (including giving me a free robot of another model) to keep me from posting this bad review, but I must.  It gets stuck on everything from molding that separates flooring types to door mats to the couch because it is just not high enough for it, but not low enough for it bounce off.  Read their instructions - they recommend raising your furniture to use this model.  Only use if you have a warehouse floor.  Not for normal home use.Pro - the cats love it and attack it non stop.Cons - spends more time stuck than cleaning.",21
"335","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Stopped working after 5 weeks of light use","zn","April 19, 2017","Size: V5sVerified Purchase",1,"I was excited to own this vacuum cleaner, but it stopped working after exactly 5 weeks. It got froze and doesn't vacuum anymore. Hoping to get a refund...",3
"336","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Better vacuum than mop","megan","November 22, 2017","Size: V5s ProVerified Purchase",4,"Great dry vac. not so good mop. actually don't use mop ever because it's not consistent and overall just poor. save $40 and just get the dry vac version of this one",1
"337","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Does not pick up small bits of broken chips or cereal.","Andrea L.","April 12, 2019","Size: V5s ProVerified Purchase",2,"It only picks up very fine matter, like dirt and dust. Leaves behind small bits of broken chips and cheerios even after several passes.Disappointing.",NA
"338","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Best budget robot vacuum","ABC","April 18, 2018","Size: V5s ProVerified Purchase",4,"This robot is worth the money. It is not too noisy and does a decent job. I wish this robot had a feature to learn the floor plan and vacuum in a systematic way. This robot runs on random logic and if you run it almost everyday it should randomly cover all spots.",NA
"339","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","This is one of my all time favorite purchases EVER","K. Johnson","February 26, 2018","Size: V5s ProVerified Purchase",5,"This is one of my all time favorite purchases EVER! We use this every single day! Customer service is amazing as well.  I will never ever be without owning an ILife. My hardwood floors have never been so clean.",1
"340","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","It's perfect !","Shruthi ","January 3, 2019","Size: V5s ProVerified Purchase",5,"This works perfect in an Indian house with marble floor, tiles and also wooden floor. To make it work perfect, just dont leave it to clean the entire house at once as it might miss few areas but if you leave it within each room separately it works perfect. Make sure to block it entering under any furniture with less gap as it might get stuck. Its awesome but obviosly it can't be too smart to take such decisions. Clean it regularly. I got three of them for my family and my relatives. All loved it.",NA
"341","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Great product!","Amazon Customer","November 15, 2016","Size: V5sVerified Purchase",5,"This vacuum is awesome, I've not had any problems.My floors are all laminate and it works great on them.  I have a couple smaller rugs that it runs fine over, but it wont go over my thicker rug, which I didn't expect it to.  It will occasionally get caught up on the cords for my lamp, but I just make sure to pick those up before it runs.Great product for the price!!",3
"342","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","It does a decent job vacuuming and wet-mopping. After ...","Christopher E. Kinney","January 26, 2018","Size: V5s ProVerified Purchase",4,"It does a decent job vacuuming and wet-mopping. After a couple months, it has a goofy bounce sometimes while working. Perhaps, it it sentient and is dancing or has developed a tic while boringly cleaning the floor? A robot vacuum having OCD makes sense.",NA
"343","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Not good for carpeted areas","871lennon","November 19, 2016","Size: V5sVerified Purchase",3,"Looks cool and has multi function including mopping and works well in hard surface. However, the the vacuum power is not so good in the carpeted areas, barely works even with max settings.",2
"344","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","We have a yellow lab and a boxer in our ...","Graber Acres","July 31, 2017","Size: V5sVerified Purchase",5,"We have a yellow lab and a boxer in our house and have been wearing their hair for a couple of years.  Lilly, the name of our iLIFE V5s, has been keeping our house manageable  for the last month.  I was worried that she might not be able to vacuum the rugs and the hardwoods that run through my house, but they are no problem.  I also a staircase that I wondered how she would clean without falling down the steps.  She cleans that area and has not taken a tumble.  I am not sure how we made it without her.",1
"345","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Love my little machine","Pamacme the Great","March 1, 2019","Size: V5s ProVerified Purchase",5,"I just love my little ""Ro-ro"" (I named my machine).  It does a great job cleaning my floors.  This little machine keeps going and tries to get under and around every obstacle on my first floor.  Remarkably knows just when to stop and not fall down the stairs.  I have been using for about 2 weeks.  I never realized how dirty my floors were until I started emptying the container.  I haven't tried the mop feature yet but looking forward to having equal success with that too.",NA
"346","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Parts missing","M. Nelsen","December 21, 2018","Size: V5s ProVerified Purchase",3,"I have had this product for over a year and use it about 2x monthly.  I've never read the manual or attempted to program the remote control until today.  My Ilife V5s Pro came without a cleaning tool, water tank or cloth.  It works well otherwise and I am happy with the vacuuming but would like to warn others to check for all parts sooner than I did.",NA
"347","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","but would like it better if it had brushes to pick up ...","Jo M.","April 3, 2018","Size: V5sVerified Purchase",4,"Works okay, but would like it better if it had brushes to pick up hair better.  The small size of the dust cup makes it necessary to empty frequently.  The ""mopping"" function is iffy.  You *really* need to dampen the cloth before putting it on the machine.  I do like the ""drivability"" of the remote.",NA
"348","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Superb for Hardwood Floors or Tile!!!","Amazon Customer","November 16, 2017","Size: V5sVerified Purchase",5,"We were pretty skeptical about buying a robot vacuum but this little thing is absolutely amazing. We have a dog and two cats in the house, all of which shed like crazy. If you have pets, this is the vacuum for you! We liked it so well that we bought another one for use upstairs. I can't say enough good things about this vacuum. I would highly recommend it to anyone. We do, however, have hardwood floors throughout our house so I cannot speak to how well it works on carpets.",1
"349","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","We are too dirty of a family....","idratherbecamping","August 1, 2017","Size: V5s ProVerified Purchase",2,"Got our vacuum robot today. We're just not clean enough to own something like this. We'd have to pre-vacuum in order to robo-vacuum and I refuse to do it's job. Honestly, if you have kids and pets and this thing still actually functions for more than 10 minutes without getting stuck or clogged, you're better than us.",1
